,movie_id,start_year,genres,averagerating,numvotes,title,studio,domestic_gross,foreign_gross
317,tt1279935,2010,"Comedy,Crime,Romance",6.3,144683,Date Night,Fox,98700000,53600000
318,tt1282140,2010,"Comedy,Drama,Romance",7.1,330125,Easy A,SGem,58400000,16600000
319,tt1284575,2011,"Comedy,Romance",5.7,181189,Bad Teacher,Sony,100300000,115900000
320,tt1285016,2010,"Biography,Drama",7.7,568578,The Social Network,Sony,97000000,128000000
321,tt1287468,2010,"Action,Comedy,Family",4.3,12642,Cats & Dogs: The Revenge of Kitty Galore,WB,43600000,68900000
322,tt1291465,2010,"Crime,Drama",7.2,15214,Raajneeti,UTV,1500000,11100000
323,tt1291584,2011,"Drama,Sport",8.2,403755,Warrior,LGF,13700000,9400000
324,tt1292566,2016,"Comedy,Drama,Romance",6.1,74329,How to Be Single,WB (NL),46800000,65500000
325,tt1294136,2010,"Crime,Thriller",5.2,1441,As Good as Dead,First,2000,53600
326,tt1294226,2010,"Drama,Music,Romance",6.0,74914,The Last Song,BV,63000000,26100000
327,tt1294688,2010,"Drama,Romance",6.6,44728,Last Night,Trib.,99000,7600000
328,tt3602660,2014,"Comedy,Drama,Romance",7.3,51,Last Night,Trib.,99000,7600000
329,tt7433980,2017,Drama,6.8,110,Last Night,Trib.,99000,7600000
330,tt8678108,2018,"Crime,Thriller",4.6,95,Last Night,Trib.,99000,7600000
331,tt1298649,2012,"Action,Comedy,Horror",5.7,115757,The Watch,Fox,35400000,32900000
332,tt1298650,2011,"Action,Adventure,Fantasy",6.6,447624,Pirates of the Caribbean: On Stranger Tides,BV,241100000,804600000
333,tt1302011,2011,"Action,Adventure,Animation",7.2,228465,Kung Fu Panda 2,P/DW,165200000,500400000
334,tt1302067,2010,"Adventure,Animation,Comedy",4.6,18934,Yogi Bear,WB,100200000,101300000
335,tt1305583,2010,"Comedy,Romance",4.9,6417,Our Family Wedding,FoxS,20300000,1200000
336,tt1305591,2011,"Adventure,Animation,Family",5.4,19823,Mars Needs Moms,BV,21400000,17600000
337,tt1306980,2011,"Comedy,Drama,Romance",7.7,300475,50/50,Sum.,35000000,4200000
338,tt1734060,2010,Documentary,7.5,11,50/50,Sum.,35000000,4200000
339,tt1307068,2012,"Adventure,Comedy,Drama",6.7,102047,Seeking a Friend for the End of the World,Focus,7100000,2600000
340,tt1308728,2018,"Action,Comedy,Crime",5.3,16988,The Happytime Murders,STX,20700000,6800000
341,tt1311075,2010,"Comedy,Drama",6.6,1266,The Human Resources Manager,FM,64000,329000
342,tt1313092,2010,"Crime,Drama",7.3,51576,Animal Kingdom,SPC,1000000,5700000
343,tt1314655,2010,"Horror,Mystery,Thriller",6.2,122080,Devil,Uni.,33600000,29100000
344,tt1318514,2011,"Action,Drama,Sci-Fi",7.6,473020,Rise of the Planet of the Apes,Fox,176800000,305000000
345,tt1320239,2010,"Comedy,Crime,History",6.2,18431,Burke and Hare,IFC,4800,4300000
346,tt1320244,2010,"Drama,Horror,Thriller",5.6,45815,The Last Exorcism,LGF,41000000,26700000
347,tt1320253,2010,"Action,Adventure,Thriller",6.5,307897,The Expendables,LGF,103100000,171400000
348,tt1320261,2010,"Adventure,Comedy,Family",4.9,61178,Gulliver's Travels,Fox,42800000,194600000
349,tt1321860,2011,Drama,6.7,45173,The Beaver,Sum.,971000,6300000
350,tt1321870,2013,"Action,Crime,Drama",6.7,195560,Gangster Squad,WB,46000000,59200000
351,tt1322269,2013,"Comedy,Drama",7.2,79383,August: Osage County,Wein.,37700000,36500000
352,tt1322312,2010,"Comedy,Romance",6.3,54421,Going the Distance,WB (NL),17800000,24200000
353,tt1323045,2010,"Adventure,Drama,Sport",6.2,62311,Frozen,BV,400700000,875699968
354,tt2294629,2013,"Adventure,Animation,Comedy",7.5,516998,Frozen,BV,400700000,875699968
355,tt1323594,2010,"Animation,Comedy,Family",7.7,464511,Despicable Me,Uni.,251500000,291600000
356,tt1325004,2010,"Adventure,Drama,Fantasy",5.0,211733,The Twilight Saga: Eclipse,Sum.,300500000,398000000
357,tt1327194,2012,"Drama,Romance",6.5,94359,The Lucky One,WB,60500000,38900000
358,tt1327709,2010,"Crime,Horror,Mystery",4.7,944,Cyrus,FoxS,7500000,2500000
359,tt1333125,2013,Comedy,4.3,92980,Movie 43,Rela.,8800000,23600000
